"","Overall"
"id",15.6251677953676
"term. 36 months",0.748351500261176
"term. 60 months",0.999273287521836
"grade.A",0.0970431107791928
"grade.B",0.0903711265808375
"grade.C",0.109598358275961
"grade.D",0.0934327381084322
"grade.E",0.048269960459544
"grade.F",0.0238900308851197
"grade.G",0.00767142028384309
"sub_grade.A1",0.0321312015062783
"sub_grade.A2",0.0407666704714975
"sub_grade.A3",0.0369624843420168
"sub_grade.A4",0.0382701719446862
"sub_grade.A5",0.0538331744869294
"sub_grade.B1",0.090428019715648
"sub_grade.B2",0.0449626033997595
"sub_grade.B3",0.109219935732822
"sub_grade.B4",0.137034409267701
"sub_grade.B5",0.056116833693416
"sub_grade.C1",0.109424964658988
"sub_grade.C2",0.139696741056199
"sub_grade.C3",0.062756882762091
"sub_grade.C4",0.0836944690212305
"sub_grade.C5",0.107194042705853
"sub_grade.D1",0.0709613624120462
"sub_grade.D2",0.0311036132790122
"sub_grade.D3",0.1133894354666
"sub_grade.D4",0.0946344930568842
"sub_grade.D5",0.00864689210261712
"sub_grade.E1",0.0349487486546245
"sub_grade.E2",0.0260656630458707
"sub_grade.E3",0.0497780820003326
"sub_grade.E4",0.00895192932766412
"sub_grade.E5",0.00726802570401818
"sub_grade.F1",0.0308179567259394
"sub_grade.F2",0.00049527035956335
"sub_grade.F3",0.00821001728586941
"sub_grade.F4",0.00622476610422429
"sub_grade.F5",0.0145005322487796
"sub_grade.G1",0.0113975178771395
"sub_grade.G2",0.00813730978693802
"sub_grade.G3",0.00250988950816063
"sub_grade.G4",0.0266377940806355
"sub_grade.G5",0.0030963405947762
"emp_length.< 1 year",0.063903501768685
"emp_length.1 year",0.0836676160348349
"emp_length.10+ years",0.10994739236566
"emp_length.2 years",0.0974916054954603
"emp_length.3 years",0.0707504956459361
"emp_length.4 years",0.05196674413241
"emp_length.5 years",0.0697831468227088
"emp_length.6 years",0.0680034162175016
"emp_length.7 years",0.120780200098007
"emp_length.8 years",0.0852798154309451
"emp_length.9 years",0.046359424824185
"emp_length.n/a",0.0697747374165056
"home_ownership.ANY",0
"home_ownership.MORTGAGE",0.127279052051105
"home_ownership.NONE",0.0251751822977594
"home_ownership.OTHER",0
"home_ownership.OWN",0.0644544990508454
"home_ownership.RENT",0.12068257079674
"verification_status.Not Verified",0.121653056300181
"verification_status.Source Verified",0.108342012008219
"verification_status.Verified",0.15117793602897
"pymnt_plan.n",0
"pymnt_plan.y",0
"purpose.car",0.0245901985153228
"purpose.credit_card",0.167372082435499
