"","Overall"
"term. 36 months",0.453953789852682
"term. 60 months",0
"grade.A",19.9942040656121
"grade.B",24.1315617368459
"grade.C",0
"grade.D",1.28374813397143
"grade.E",5.24921150540359
"grade.F",2.18730923982242
"grade.G",0.572801380844822
"emp_length.< 1 year",0.443283109191746
"emp_length.1 year",1.59698156281036
"emp_length.10+ years",2.84579974935509
"emp_length.2 years",0
"emp_length.3 years",1.04660473305769
"emp_length.4 years",1.06584190954133
"emp_length.5 years",0.432639398801526
"emp_length.6 years",0.194037908519402
"emp_length.7 years",3.52401663969495
"emp_length.8 years",0
"emp_length.9 years",1.66174026447951
"emp_length.n/a",4.7296508429568
"home_ownership.ANY",0
"home_ownership.MORTGAGE",7.98706304677222
"home_ownership.NONE",0
"home_ownership.OTHER",0
"home_ownership.OWN",1.58168392987726
"home_ownership.RENT",0.394060917396919
"purpose.car",0
"purpose.credit_card",3.14680124531972
"purpose.debt_consolidation",1.15008731597263
"purpose.educational",1.20239660242444
"purpose.home_improvement",1.01540379463608
"purpose.house",0.920917564472748
"purpose.major_purchase",0.400312190081156
"purpose.medical",2.88327694395815
"purpose.moving",0
"purpose.other",0.760625946228269
"purpose.renewable_energy",0
"purpose.small_business",5.26448316069714
"purpose.vacation",0
"purpose.wedding",0
"loan_amnt_band.(0,5e+03]",1.29057723988376
"loan_amnt_band.(5e+03,1e+04]",0
"loan_amnt_band.(1e+04,1.5e+04]",2.25874572667695
"loan_amnt_band.(1.5e+04,2e+04]",0.515558105970399
"loan_amnt_band.(2e+04,2.5e+04]",0
"loan_amnt_band.(2.5e+04,3e+04]",0.233233193198782
"loan_amnt_band.(3e+04,3.5e+04]",0
"int_rate_band.(5,10]",75.3675140703348
"int_rate_band.(10,15]",32.1539556240626
"int_rate_band.(15,20]",0.902943217135591
"int_rate_band.(20,25]",7.78961919614458
"int_rate_band.(25,30]",2.91641563767987
"installment_band.(0,100]",1.27917582626192
"installment_band.(100,200]",0.886391992098572
"installment_band.(200,300]",1.03393780220223
"installment_band.(300,500]",1.32707614409047
"installment_band.(500,700]",1.26312358214608
"installment_band.(700,1e+03]",1.30087955828254
"installment_band.(1e+03,1.2e+03]",0
"installment_band.(1.2e+03,1.5e+03]",0.322974649263057
"annual_inc_band.(0,2e+03]",0
"annual_inc_band.(2e+03,5e+03]",0
"annual_inc_band.(5e+03,1e+04]",0
"annual_inc_band.(1e+04,2.5e+04]",6.53602498236768
"annual_inc_band.(2.5e+04,5e+04]",7.25354913105523
"annual_inc_band.(5e+04,8e+04]",0.263068419638716
"annual_inc_band.(8e+04,1e+05]",3.49968108008107
"annual_inc_band.(1e+05,2e+05]",4.79543886759397
"annual_inc_band.(2e+05,4e+05]",1.01589120862811
"annual_inc_band.(4e+05,8e+05]",0
"annual_inc_band.(8e+05,1e+06]",0
"annual_inc_band.(1e+06,1e+07]",0
"dti_band.(-1,0]",0
"dti_band.(0,10]",1.90694171764701
"dti_band.(10,20]",0.691219053212351
"dti_band.(20,30]",8.76359257907984
"dti_band.(30,40]",5.00558648092939
"dti_band.(40,50]",0
"dti_band.(50,60]",0
"dti_band.(60,673]",0
"delinq_2yrs_band.(-1,0]",1.21813541846553
"delinq_2yrs_band.(0,5]",1.03637593168968
"delinq_2yrs_band.(5,10]",2.07840073826266
"delinq_2yrs_band.(10,15]",0
"delinq_2yrs_band.(15,20]",0
"delinq_2yrs_band.(20,25]",0
"delinq_2yrs_band.(25,30]",0
"inq_last_6mths_band.(-1,0]",5.07515371691047
"inq_last_6mths_band.(0,5]",0.517471173233901
"inq_last_6mths_band.(5,10]",0.749783528759588
"inq_last_6mths_band.(10,15]",0
"inq_last_6mths_band.(15,20]",0
"inq_last_6mths_band.(20,25]",0
"inq_last_6mths_band.(25,30]",0
"inq_last_6mths_band.(30,35]",0
"mths_since_last_delinq_band.(-1,0]",0.641095829459326
"mths_since_last_delinq_band.(0,10]",4.76880051745832
"mths_since_last_delinq_band.(10,20]",0
"mths_since_last_delinq_band.(20,30]",0.539792619277362
"mths_since_last_delinq_band.(30,50]",0.414200049258047
"mths_since_last_delinq_band.(50,70]",0.445774352476519
"mths_since_last_delinq_band.(70,100]",0.361608042886195
"mths_since_last_delinq_band.(100,130]",0
"mths_since_last_delinq_band.(130,150]",0
"mths_since_last_delinq_band.(150,170]",0
"open_acc_band.(-1,0]",0
